	ID	degree	eccentricity	betweenness	com_betweenness	eigenvector	katz	closeness	current_flow_closeness	load	clustering_coef	subgraph	harmonic
218	219	0.2671232876712329	0.0	0.12292951336813454	0.08461628372109019	0.2184812074691156	0.5068502970300632	0.4731423098411687	0.6365031465997031	0.1372938139841329	0.6453658536585366	0.049136158617143856	0.45863570391873076
219	220	0.07534246575342465	0.0	0.016631141881892214	0.005293416072195522	0.050266924892291065	0.5288909851435645	0.28028946048577796	0.2815396248766573	0.0192963365024127	0.6153846153846153	0.0029189499062221105	0.2554426705370234
220	221	0.3013698630136986	0.0	0.16317494424826964	0.029434442746719712	0.11440301532804414	0.5475441865314982	0.5475815149755248	0.6719621556092896	0.17272036028783902	0.5831884057971014	0.013918747809982807	0.5137880986937646
221	222	0.13013698630136986	0.0	0.07674383848265338	0.009901422835333655	0.06804777360710652	0.5116565092048284	0.445423089021705	0.4175823481820549	0.09140615247074983	0.46285714285714286	0.005151609808244924	0.38461538461539213
222	223	0.5136986301369864	0.0	0.24824252062494845	0.25205333615374476	0.39095918493893	0.6541292397100186	0.7058823529411766	0.836520790353902	0.253637259011127	0.5544771018455229	0.15479762498730965	0.68069666182874
223	224	0.2191780821917808	0.0	0.24689766712988387	0.00635748177738133	0.04164144152440763	0.4968683804863774	0.5420699925539838	0.5698554685533086	0.27006083127903946	0.3807486631016042	0.0020617318978375775	0.4760522496371604
224	225	0.41780821917808214	0.0	0.41158670494552757	0.04385391507796288	0.13822920614370365	0.6664407413663477	0.6523905253037321	0.7728072744234422	0.4273517703171894	0.4571428571428571	0.020083488753927563	0.6153846153846187
225	226	0.6917808219178081	0.0	0.3341459662702584	0.5588910601224435	0.6344658417265301	0.4424988275284528	0.8216379799508231	0.9163985160620609	0.33556824191259976	0.6220445459737293	0.4044439478119435	0.8055152394775049
226	227	0.2397260273972603	0.0	0.20290724086797413	0.014634212913531154	0.07581038873624509	0.47992586945339827	0.5149710369584728	0.5988839667568426	0.22904568088034138	0.45765765765765765	0.006322069491976779	0.47024673439768394
227	228	0.273972602739726	0.0	0.15140557962039644	0.023380701858933622	0.09960528229849774	0.47157595615674913	0.4808462894694663	0.6404780441440614	0.16291691839765918	0.5714285714285714	0.010656753396886353	0.46589259796807725
228	229	0.1643835616438356	0.0	0.11988100843498571	0.004158895107595161	0.03448802321685089	0.18066779530643096	0.45040214477211804	0.48227915535818916	0.13217977958404337	0.46153846153846156	0.0014628412430054275	0.4020319303338249
229	230	0.7876712328767124	0.0	0.6344162332205181	0.666564997783448	0.7145412761538428	0.5421784170837558	0.8581314878892736	0.9476513367282224	0.6387034180355446	0.5932802829354553	0.5122311385276915	0.860667634252541
230	231	0.2876712328767123	0.0	0.31354249362267256	0.03539558857576518	0.12922178312749327	0.22217542713684207	0.5149710369584728	0.6579797186173673	0.33885616188070516	0.4794926004228329	0.017623218671280576	0.4905660377358556
231	232	0.7876712328767124	0.0	0.411995508391274	0.6578873898167128	0.7087638921676164	0.6150133740646635	0.8581314878892736	0.9476766552851752	0.41379146442728626	0.6113174182139699	0.5040252788973495	0.860667634252541
232	233	0.0547945205479452	0.0	0.006166976408412597	0.0018566333594082622	0.026916712000956376	0.41138858430778613	0.23808858460248694	0.21752882304826826	0.00776551829546302	0.64	0.0009396203950773694	0.21625544267054808
233	234	0.5616438356164384	0.0	0.29266615699507054	0.36762846929440735	0.4879748601022263	0.6892860477681796	0.7221469232854432	0.8614100805907476	0.29354895500675876	0.6313253012048192	0.2401627714796134	0.7082728592162582
234	235	0.821917808219178	0.0	0.6080500811462584	0.7150888482172331	0.7517899359972061	0.5072283842193266	0.9112728703521547	0.9578363362628783	0.6113918294314562	0.5971548570654382	0.5667055900955389	0.8955007256894052
235	236	0.3767123287671233	0.0	0.3658372016627977	0.14119537864713838	0.2815274501426382	0.5893842803982624	0.6015345268542203	0.744555902627067	0.3817691956805402	0.5308270676691729	0.08091705639893489	0.5732946298984081
236	237	0.136986301369863	0.0	0.06761664935755757	0.015716077813221322	0.08673982732502278	0.3922390900005561	0.42820412933385277	0.4326008183622206	0.07598446572582995	0.535064935064935	0.008174352939690823	0.3773584905660461
