	ID	degree	eccentricity	betweenness	com_betweenness	eigenvector	katz	closeness	current_flow_closeness	load	clustering_coef	subgraph	harmonic
150	151	20	3.0	0.0007391765838871456	0.002540233690564859	0.0041903115753948355	0.00789270730494067	0.4766977363515313	0.03518976618879522	0.0008347023627012367	0.35789473684210527	4.1244742830435624e+36	179.83333333333385
151	152	32	3.0	0.0021846378823920575	0.0130019059744368	0.010467213889142688	0.15125771201233953	0.48509485094850946	0.046515960670250996	0.0022698188723577145	0.39314516129032256	2.573718032333301e+37	186.0000000000005
152	153	52	3.0	0.0033148801126745026	0.05728854334618025	0.02392613850072949	-0.021038342557150216	0.5114285714285715	0.058779783240390654	0.003338160298349169	0.40120663650075417	1.3447536878524535e+38	199.00000000000034
153	154	98	3.0	0.004371793245307898	0.40767355652811904	0.07455397990026412	0.01061397977557317	0.5700636942675159	0.07305077835887226	0.00419637907392862	0.5569114243635599	1.3056241054018892e+39	226.33333333333343
154	155	5	4.0	1.5510064851937838e-05	0.00023582241374697248	0.001427082615311974	-0.0259572428434916	0.4096109839816934	0.01201230606271628	1.911264179194223e-05	0.3	4.783751340924193e+35	154.41666666666703
155	156	25	3.0	0.0019403377707708518	0.004374982552295303	0.005800093446893396	-0.11437802522741436	0.48707482993197276	0.04037105559596219	0.002136964796169881	0.27	7.902441225676332e+36	184.16666666666708
156	157	74	3.0	0.004982966589912609	0.16331013041009573	0.04293269927804367	0.15443172943039202	0.5424242424242425	0.06710267944548547	0.004954596368698485	0.46390225842280636	4.329853070103775e+38	213.00000000000017
157	158	30	3.0	0.001595632222705148	0.005154979421279286	0.006116529654558821	0.10340134188839727	0.47989276139410186	0.044774008372571374	0.0016859584792642014	0.3632183908045977	8.788099517911797e+36	184.00000000000057
158	159	23	3.0	0.0007063209100781337	0.0022296880567487655	0.0036701912860751026	0.0950449575241758	0.46433203631647213	0.03827284521045437	0.0007837690194768663	0.4308300395256917	3.1640657593427933e+36	177.50000000000074
159	160	22	4.0	0.00045746608094825224	0.0013209452218057205	0.0024893385848788127	0.011908842233414667	0.42771804062126645	0.03700296754248615	0.000526009006858731	0.5974025974025974	1.455539108966913e+36	166.25000000000094
160	161	51	3.0	0.004404591494837311	0.046571697233327665	0.020470287544633668	0.058460968626154616	0.5165945165945166	0.058089624209461996	0.004312217759991919	0.36705882352941177	9.842750249756053e+37	199.8333333333336
161	162	19	3.0	0.0007908146539970174	0.007335642615002782	0.008383734482816875	-0.07546674690219086	0.4637305699481865	0.034205055386801485	0.0008927527551006175	0.3567251461988304	1.651080949658285e+37	176.0000000000007
162	163	46	3.0	0.0015198208929873536	0.03631801306076924	0.018980683728381954	0.10555623589176504	0.5121602288984263	0.05583627154279045	0.0015585466528593482	0.49082125603864735	8.461862725131343e+37	197.16666666666694
163	164	17	3.0	0.0007058280402414666	0.001939998689087536	0.003855232943565938	-0.059170050161122756	0.4436183395291202	0.03156161016983587	0.0008082476923169208	0.36764705882352944	3.4909356880743836e+36	169.50000000000102
164	165	19	3.0	0.0007551135263821689	0.003573588160544547	0.0054370977571332165	-0.06558919923538242	0.468586387434555	0.034056132067253525	0.0008615566280753959	0.39766081871345027	6.944140971695053e+36	177.33333333333397
165	166	68	3.0	0.0026925170583031745	0.18214978286667893	0.046143567497985594	-0.02363821537998552	0.5288035450516987	0.06521109810593229	0.002675800622464437	0.5351185250219491	5.001652693740226e+38	208.16666666666694
166	167	92	3.0	0.002580397697555354	0.34001260623121693	0.066716574553988	0.0628112298300548	0.5559006211180124	0.07172789485159407	0.002527089165843539	0.5336837075967511	1.0455793210056945e+39	221.66666666666686
167	168	91	3.0	0.0018997863528942079	0.35940508994637554	0.06897661030757933	-0.024334427904935382	0.559375	0.07155864576053537	0.001844254138750726	0.5841269841269842	1.117568152117887e+39	222.00000000000014
168	169	17	3.0	0.0011405197272724742	0.0016653790614149528	0.003266035198477117	0.012070171095800662	0.4710526315789474	0.03152129546499265	0.0013638359972665535	0.22794117647058823	2.5056571086398054e+36	177.3333333333339
169	170	59	3.0	0.0029280994320029954	0.0748493273859588	0.027666427047247505	-0.03444434505963651	0.5264705882352941	0.06184668438905002	0.0028704639967649264	0.45412039742840443	1.7978652312605175e+38	204.66666666666688
170	171	66	3.0	0.0020640076427224335	0.13585375109608677	0.038980970928052174	0.013620208244670256	0.5343283582089552	0.06455857394294968	0.0020471190190877214	0.48671328671328673	3.569170910186577e+38	208.66666666666686
171	172	135	3.0	0.002919843039506021	0.6527344437802	0.10627977742335279	-0.008411728561335603	0.6037099494097807	0.07883443980108862	0.0028274992015926894	0.5437258153676064	2.6532685862018965e+39	244.5000000000001
172	173	117	3.0	0.0034164399298832224	0.5104469869264617	0.08742172789031252	0.05966738941783249	0.5840130505709625	0.0763363526626582	0.003296490821245659	0.5393457117595049	1.7952606535821546e+39	235.1666666666668
173	174	118	3.0	0.002223140073216286	0.5604928598410337	0.09389636407448314	0.041948632145982434	0.5859247135842881	0.07649444445921962	0.0021552098357115602	0.5727944372012168	2.070997334225059e+39	235.83333333333346
174	175	90	3.0	0.003762166033502707	0.32964204402600705	0.06527483331007383	-0.013248678720711227	0.5567651632970451	0.07130204950654576	0.003693761861066028	0.5298377028714107	1.0008694839357773e+39	221.16666666666683
175	176	125	3.0	0.0022895794730651863	0.601633369131311	0.09921488079361573	-0.017144983019742537	0.593698175787728	0.07752705199057935	0.002199352067088139	0.572	2.312226067730769e+39	239.5000000000001
176	177	147	3.0	0.004244405183742291	0.6970889727770402	0.11274947119561726	-0.015146028675229753	0.6215277777777778	0.08022091529752909	0.004058556650771665	0.5146771037181996	2.9861252657327056e+39	251.3333333333334
177	178	29	3.0	0.0004654092428992966	0.025125602939546472	0.0162520675031019	-0.041984924236283944	0.4877384196185286	0.044414807161956026	0.0005065803209743195	0.5369458128078818	6.204523323861504e+37	185.6666666666671
178	179	39	3.0	0.0024609360003062086	0.041993399475545014	0.020551341429547725	-0.05051829389788977	0.5070821529745042	0.05173403486764926	0.002519060064321781	0.40620782726045884	9.921121771609231e+37	193.66666666666694
179	180	49	3.0	0.0028068257902987247	0.01170602059341728	0.009337457373991703	0.04623496140993161	0.5151079136690647	0.05715763638777784	0.002841131581990651	0.39880952380952384	2.047751391878843e+37	198.8333333333336
180	181	70	3.0	0.008805818658674693	0.09559468669608581	0.030602907856095957	0.08713516580112748	0.5383458646616541	0.06573097712373815	0.00832207540090903	0.3784679089026915	2.1997634378047954e+38	210.8333333333335
181	182	75	3.0	0.0025308333389477138	0.11700405201955684	0.03523226173950556	0.04228835410250724	0.5424242424242425	0.06735493437576617	0.002459828454929141	0.4753153153153153	2.9155870166336524e+38	213.3333333333335
182	183	75	3.0	0.005175450414425863	0.06235623896650437	0.024081764622405435	0.08119746196166576	0.5474006116207951	0.06724886859725053	0.005083504608082517	0.3924324324324324	1.3621083784700885e+38	214.33333333333346
183	184	60	3.0	0.0038808388787112836	0.025628485758867357	0.01456215775900342	-0.009658316143932325	0.5295857988165681	0.06204294858592039	0.003812066560607939	0.38757062146892657	4.980616728967883e+37	205.66666666666686
184	185	59	3.0	0.002773118427659181	0.04316099943062975	0.02016343208473348	-0.0036026281545378904	0.528023598820059	0.06177014974374199	0.0027702641753581327	0.43015780245470486	9.549162415517674e+37	205.0000000000002
185	186	23	3.0	0.0009334683304684237	0.0025786793085631594	0.004114456635248937	-0.08573560292714721	0.45721583652618136	0.038309042570604204	0.001037643846098762	0.40711462450592883	3.9763987106399486e+36	175.50000000000085
